Y (ang)	el Psi 1	el Psi 2	hh Psi 1	hh Psi 2	hh Psi 3	hh Psi 4	hh Psi 5	hh Psi 6	hh Psi 7	hh Psi 8	hh Psi 9	hh Psi 10	hh Psi 11	hh Psi 12	hh Psi 13	hh Psi 14	lh Psi 1	lh Psi 2	lh Psi 3	lh Psi 4	lh Psi 5	lh Psi 6	lh Psi 7	lh Psi 8	lh Psi 9	lh Psi 10	lh Psi 11	lh Psi 12	lh Psi 13	lh Psi 14
2.300000e+002	9.8944e-003	-8.8570e-003	6.4841e-020	-2.0232e-019	9.1101e-018	-1.3530e-018	4.9810e-016	-1.1930e-018	2.4722e-014	-4.9336e-019	1.1153e-012	-1.5383e-019	4.6396e-020	4.5283e-011	2.9050e-022	1.6340e-009	6.4841e-020	-2.0232e-019	9.1101e-018	-1.3530e-018	4.9810e-016	-1.1930e-018	2.4722e-014	-4.9336e-019	1.1153e-012	-1.5383e-019	4.6396e-020	4.5283e-011	2.9050e-022	1.6340e-009
2.400000e+002	5.7932e-002	-4.0242e-002	1.0103e-021	-3.2521e-021	1.5529e-019	-2.3216e-020	9.1988e-018	-2.2146e-020	4.9808e-016	-9.9759e-021	2.4720e-014	-3.4154e-021	1.1421e-021	1.1153e-012	8.0119e-024	4.5281e-011	1.0103e-021	-3.2521e-021	1.5529e-019	-2.3216e-020	9.1988e-018	-2.2146e-020	4.9808e-016	-9.9759e-021	2.4720e-014	-3.4154e-021	1.1421e-021	1.1153e-012	8.0119e-024	4.5281e-011
2.500000e+002	2.1525e-001	-1.0941e-001	1.5730e-023	-5.2232e-023	2.6447e-021	-3.9804e-022	1.6973e-019	-4.1072e-022	1.0026e-017	-2.0152e-022	5.4733e-016	-7.5752e-023	2.8083e-023	2.7437e-014	2.2069e-025	1.2532e-012	1.5730e-023	-5.2232e-023	2.6447e-021	-3.9804e-022	1.6973e-019	-4.1072e-022	1.0026e-017	-2.0152e-022	5.4733e-016	-7.5752e-023	2.8083e-023	2.7437e-014	2.2069e-025	1.2532e-012
2.600000e+002	1.7849e-001	-1.3521e-002	2.6013e-025	-8.9284e-025	4.8127e-023	-7.2947e-024	3.3653e-021	-8.1886e-024	2.1833e-019	-4.4057e-024	1.3219e-017	-1.8331e-024	7.6089e-025	7.4382e-016	6.7817e-027	3.8717e-014	2.6013e-025	-8.9284e-025	4.8127e-023	-7.2947e-024	3.3653e-021	-8.1886e-024	2.1833e-019	-4.4057e-024	1.3219e-017	-1.8331e-024	7.6089e-025	7.4382e-016	6.7817e-027	3.8717e-014
2.700000e+002	1.1377e-001	9.3141e-002	4.4591e-027	-1.5839e-026	9.1109e-025	-1.3912e-025	6.9667e-023	-1.7050e-025	4.9859e-021	-1.0102e-025	3.3660e-019	-4.6770e-026	2.1879e-026	2.1401e-017	2.2301e-028	1.2804e-015	4.4591e-027	-1.5839e-026	9.1109e-025	-1.3912e-025	6.9667e-023	-1.7050e-025	4.9859e-021	-1.0102e-025	3.3660e-019	-4.6770e-026	2.1879e-026	2.1401e-017	2.2301e-028	1.2804e-015
2.800000e+002	6.3532e-002	1.5207e-001	7.8220e-029	-2.8776e-028	1.7693e-026	-2.7222e-027	1.4830e-024	-3.6511e-027	1.1743e-022	-2.3893e-027	8.8714e-021	-1.2352e-027	6.5415e-028	6.4027e-019	7.6687e-030	4.4295e-017	7.8220e-029	-2.8776e-028	1.7693e-026	-2.7222e-027	1.4830e-024	-3.6511e-027	1.1743e-022	-2.3893e-027	8.8714e-021	-1.2352e-027	6.5415e-028	6.4027e-019	7.6687e-030	4.4295e-017
2.900000e+002	3.2650e-002	1.6002e-001	1.3949e-030	-5.3184e-030	3.4995e-028	-5.4257e-029	3.2211e-026	-7.9783e-029	2.8279e-024	-5.7787e-029	2.3971e-022	-3.3448e-029	2.0120e-029	1.9706e-020	2.7247e-031	1.5836e-018	1.3949e-030	-5.3184e-030	3.4995e-028	-5.4257e-029	3.2211e-026	-7.9783e-029	2.8279e-024	-5.7787e-029	2.3971e-022	-3.3448e-029	2.0120e-029	1.9706e-020	2.7247e-031	1.5836e-018
3.000000e+002	1.5779e-002	1.3425e-001	2.5188e-032	-9.9571e-032	7.0178e-030	-1.0966e-030	7.1032e-028	-1.7702e-030	6.9256e-026	-1.4215e-030	6.6009e-024	-9.2306e-031	6.3235e-031	6.1974e-022	9.9255e-033	5.8052e-020	2.5188e-032	-9.9571e-032	7.0178e-030	-1.0966e-030	7.1032e-028	-1.7702e-030	6.9256e-026	-1.4215e-030	6.6009e-024	-9.2306e-031	6.3235e-031	6.1974e-022	9.9255e-033	5.8052e-020
3.100000e+002	7.1365e-003	9.2590e-002	4.5908e-034	-1.8822e-033	1.4220e-031	-2.2396e-032	1.5843e-029	-3.9730e-032	1.7177e-027	-3.5413e-032	1.8438e-025	-2.5840e-032	2.0200e-032	1.9810e-023	3.6846e-034	2.1690e-021	4.5908e-034	-1.8822e-033	1.4220e-031	-2.2396e-032	1.5843e-029	-3.9730e-032	1.7177e-027	-3.5413e-032	1.8438e-025	-2.5840e-032	2.0200e-032	1.9810e-023	3.6846e-034	2.1690e-021
3.200000e+002	2.7044e-003	4.6317e-002	8.4206e-036	-3.5817e-035	2.9016e-033	-4.6064e-034	3.5611e-031	-8.9862e-034	4.2969e-029	-8.8982e-034	5.1992e-027	-7.3028e-034	6.5223e-034	6.4010e-025	1.3848e-035	8.2048e-023	8.4206e-036	-3.5817e-035	2.9016e-033	-4.6064e-034	3.5611e-031	-8.9862e-034	4.2969e-029	-8.8982e-034	5.1992e-027	-7.3028e-034	6.5223e-034	6.4010e-025	1.3848e-035	8.2048e-023
3.300000e+002	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	0.0000e+000	4.5174e-050	-1.9944e-049	1.7370e-047	-2.7830e-048	2.3540e-045	-5.9666e-048	3.1717e-043	-6.4835e-048	4.3439e-041	-5.2772e-048	6.2679e-048	6.1606e-039	3.3269e-049	9.3115e-037
